id,nombre,recorrido,atractivos,direccion,barrio,comuna,geometry,peso
"30,14. Parque Thays - Museo de Arquitectura y Diseño,Recorrido Amarillo,,""Del Libertador Av. y Montevideo, entre Libertad y Montevideo"",Retiro,Comuna 1,POINT (-58.383427673915364 -34.58769933641633),4"
"31,14. Planetario,Recorrido Rojo,Ecoparque Interactivo - Jardín Japonés - Museo de Artes Plásticas Savori - Paseo del Rosedal - Planetario Galileo Galilei,""Sarmiento Av. 4250, entre Av Pres. Figueroa Alcorta y Casares"",Palermo,Comuna 14,POINT (-58.4001113300173694 -34.57051355446734),3"
"32,15. Club de Pescadores,Recorrido Rojo,Club de Pescadores - Corredor Costanera Norte - Parque 3 de Febrero - Parque Costanera Norte Punta Carrasco,""Obligado Rafael, Av.Costanera 2200"",Palermo,Comuna 14,POINT (-58.40401434747257 -34.5636819613119),6"
"33,15. MALBA,Recorrido Amarillo,Parque 3 de Febrero - Ecoparque Interactivo - Jardín Japonés - Museo de Arte Popular J. Hernández - Paseo del Rosedal - Planetario Galileo Galilei,""Figueroa Alcorta, Pres. Av. 3465,  entre Jerónimo Salguero y San Martín de Tours"",Palermo,Comuna 14,POINT (-58.4042883352058 -34.57683344555577),3"
"34,16. Aeropuerto - Monumento a Cristóbal Colón,Recorrido Rojo,,""Obligado Rafael, Av.Costanera 4200"",Palermo,Comuna 14,POINT (-58.410896481229535 -34.557642627148546),0.1"
"35,16. Planetario,Recorrido Amarillo,Jardín Japonés - Planetario Galileo Galilei - Paseo del Rosedal - Museo de Artes Plásticas Savori - Ecoparque Interactivo,""Sarmiento Av. 3600, entre Av Figueroa Alcorta y Av Del Libertador"",Palermo,Comuna 14,POINT (-58.41291751829318 -34.57244419023645),7"
"36,17. Parque de la Memoria,Recorrido Rojo,Club Hípico Argentino - Tierra Santa - Monumento a los Policías Caídos en el Cumplimiento del Deber - Estadio River Plate - Converse Skate Plaza,""Obligado Rafael, Av.Costanera 7400"",Belgrano,Comuna 13,POINT (-58.43631492074325 -34.54233315786743),7"
"37,17. Plaza Italia - Ecoparque,Recorrido Amarillo,,""Sarmiento Av. 2900, entre Av Colombia y Av Santa Fe"",Palermo,Comuna 14,POINT (-58.418673844953176 -34.57855421821344),9"
"38,18. El Monumental,Recorrido Rojo,Converse Skate Plaza - Museo Islas Malvinas e Islas del Atlántico Sur - Centro Cultural de la Memoria Haroldo Conti - Club Hípico Argentino - Paseo de las Américas - Museo Deportivo River - Jardín de Esculturas,""Figueroa Alcorta, Pres. Av. 7576"",Belgrano,Comuna 13,POINT (-58.449063686858814 -34.54684935032825),9"
"39,18. Palermo - Plaza Serrano,Recorrido Amarillo,Plazoleta Julio Cortázar (ex Plaza Serrano) - Plaza Italia - Pasajes Porteños - Jardín Botánico Carlos Thays - Ecoparque Interactivo,""El Salvador 4870, entre Jorge Luis Borges y Gurruchaga"",Palermo,Comuna 14,POINT (-58.428929924297314 -34.588113943912674),4"
